#JD -  2457565 (hr) Flux  Fl_err  Model_fl   Residual for 1.08um (%)
      -4.5079613      0.98889698    0.0021808393      0.00000      0.00000
      -4.4866787      0.97833725    0.0021445554      0.00000      0.00000
      -4.4653956      0.98097857    0.0021613560      0.00000      0.00000
      -4.4441073      0.97826877    0.0021544257      0.00000      0.00000
      -4.4228128      0.98212302    0.0021826828      0.00000      0.00000
      -4.4015156      0.98235557    0.0021294195      0.00000      0.00000
      -4.3802279      0.97666792    0.0021360340      0.00000      0.00000
      -4.3589434      0.98496693    0.0021577267      0.00000      0.00000
      -4.3376587      0.98298946    0.0021897784      0.00000      0.00000
      -4.3163706      0.98410195    0.0021791165      0.00000      0.00000
      -4.2950823      0.96914428    0.0022456243      0.00000      0.00000
      -4.2737971      0.98489553    0.0022613638      0.00000      0.00000
      -4.2525150      0.99201350    0.0022570540      0.00000      0.00000
      -4.2312308      0.98844494    0.0021492343      0.00000      0.00000
      -4.2099406      0.98333502    0.0021526335      0.00000      0.00000
      -4.1886509      0.98573916    0.0021337356      0.00000      0.00000
      -4.1673621      0.98620283    0.0021237618      0.00000      0.00000
      -4.1460789      0.99691224    0.0021144441      0.00000      0.00000
      -4.1247933      0.98770405    0.0021009431      0.00000      0.00000
      -4.1035074      0.99653063    0.0020964140      0.00000      0.00000
      -4.0822223      0.99620217    0.0021148363      0.00000      0.00000
      -4.0609334       1.0026876    0.0021150116      0.00000      0.00000
      -4.0396478      0.99711073    0.0021199328      0.00000      0.00000
      -4.0183600      0.99701135    0.0021053807      0.00000      0.00000
      -3.9970688       1.0009195    0.0021198221      0.00000      0.00000
      -3.9757763      0.99778559    0.0021240370      0.00000      0.00000
      -3.9544877       1.0019948    0.0021301459      0.00000      0.00000
      -3.9332025       1.0027490    0.0021271453      0.00000      0.00000
      -3.9119164       1.0019024    0.0021087213      0.00000      0.00000
      -3.8906290       1.0103234    0.0021650732      0.00000      0.00000
      -3.8693396      0.99700619    0.0021531574      0.00000      0.00000
      -3.8480549       1.0078935    0.0022153866      0.00000      0.00000
      -3.8267708       1.0020868    0.0021370409      0.00000      0.00000
      -3.8054845       1.0083823    0.0021528590      0.00000      0.00000
      -3.7841999       1.0041556    0.0021473018      0.00000      0.00000
      -3.7629137       1.0021285    0.0021284967      0.00000      0.00000
      -3.7416330       1.0084741    0.0021608014      0.00000      0.00000
      -3.7203483       1.0130476    0.0021452942      0.00000      0.00000
      -3.6990596       1.0112612    0.0021696467      0.00000      0.00000
      -3.6777688       1.0084256    0.0021572578      0.00000      0.00000
      -3.6564842      0.97575960    0.0032751596      0.00000      0.00000
      -3.6351994       1.0071293    0.0021417654      0.00000      0.00000
      -3.6139144       1.0141276    0.0021138253      0.00000      0.00000
      -3.5926299       1.0119475    0.0021442123      0.00000      0.00000
      -3.5713435      0.98806051    0.0021104484      0.00000      0.00000
      -3.5500550       1.0111802    0.0022004548      0.00000      0.00000
      -3.5287660       1.0097564    0.0021865536      0.00000      0.00000
      -3.5074870       1.0067712    0.0022054911      0.00000      0.00000
      -3.4862004       1.0041089    0.0021562872      0.00000      0.00000
      -3.4649138       1.0132278    0.0021266243      0.00000      0.00000
      -3.4436293       1.0075206    0.0021639700      0.00000      0.00000
      -3.4223535       1.0050841    0.0021850383      0.00000      0.00000
      -3.4010635       1.0116844    0.0021489821      0.00000      0.00000
      -3.3797848       1.0074917    0.0021399845      0.00000      0.00000
      -3.3584981       1.0093210    0.0021385852      0.00000      0.00000
      -3.3372108       1.0091823    0.0021255689      0.00000      0.00000
      -3.3159238       1.0112597    0.0020973956      0.00000      0.00000
      -3.2946643       1.0070931    0.0021032827      0.00000      0.00000
      -3.2733795       1.0121117    0.0021350088      0.00000      0.00000
      -3.2520884       1.0042281    0.0021100964      0.00000      0.00000
      -3.2307875       1.0050642    0.0021456432      0.00000      0.00000
      -3.2095167       1.0052248    0.0021268284      0.00000      0.00000
      -3.1882283       1.0095236    0.0021437435      0.00000      0.00000
      -3.1669402       1.0027411    0.0021481072      0.00000      0.00000
      -3.1456558      0.99833577    0.0021145247      0.00000      0.00000
      -3.1243688       1.0110667    0.0021275881      0.00000      0.00000
      -3.1030767       1.0033946    0.0021261298      0.00000      0.00000
      -3.0817351       1.0090855    0.0021345654      0.00000      0.00000
      -3.0604299       1.0118784    0.0021383943      0.00000      0.00000
      -3.0391400       1.0125192    0.0021595200      0.00000      0.00000
      -3.0178195       1.0093565    0.0021573639      0.00000      0.00000
      -2.9965365       1.0052811    0.0021452026      0.00000      0.00000
      -2.9752419       1.0005429    0.0021242469      0.00000      0.00000
      -2.9539556       1.0256078    0.0021956246      0.00000      0.00000
      -2.9326723       1.0077238    0.0021354645      0.00000      0.00000
      -2.9113919       1.0053826    0.0021276511      0.00000      0.00000
      -2.8901050      0.99753918    0.0021269119      0.00000      0.00000
      -2.8688100       1.0011607    0.0021573919      0.00000      0.00000
      -2.8475259      0.99851709    0.0021391166      0.00000      0.00000
      -2.8262412      0.99685763    0.0021448285      0.00000      0.00000
      -2.8049542      0.99377590    0.0021456411      0.00000      0.00000
      -2.7836670       1.0095780    0.0021344310      0.00000      0.00000
      -2.7623799       1.0034390    0.0021454243      0.00000      0.00000
      -2.7410997       1.0045745    0.0021412643      0.00000      0.00000
      -2.7198104       1.0065033    0.0021594566      0.00000      0.00000
