#JD -  2457388 (hr) Flux  Fl_err  Model_fl   Residual for 1.14um (%)
      -2.4139274      0.99772650    0.0023756217      0.00000      0.00000
      -2.3967685      0.99181902    0.0023881691      0.00000      0.00000
      -2.3796119       1.0071592    0.0023747874      0.00000      0.00000
      -2.3624283      0.99140686    0.0023745699      0.00000      0.00000
      -2.3452542       1.0008374    0.0023602688      0.00000      0.00000
      -2.3280954      0.99199100    0.0023030337      0.00000      0.00000
      -2.3108841      0.99452232    0.0023486652      0.00000      0.00000
      -2.2937279      0.99490606    0.0023723527      0.00000      0.00000
      -2.2765756       1.0031516    0.0023388871      0.00000      0.00000
      -2.2594209      0.98955931    0.0023745456      0.00000      0.00000
      -2.2422617       1.0021159    0.0023016982      0.00000      0.00000
      -2.2251076      0.99694378    0.0022568728      0.00000      0.00000
      -2.2079540      0.99670640    0.0022738758      0.00000      0.00000
      -2.1907916      0.99569067    0.0022438269      0.00000      0.00000
      -2.1736349      0.99636098    0.0022434603      0.00000      0.00000
      -2.1564684      0.99541627    0.0022520977      0.00000      0.00000
      -2.1393057       1.0018800    0.0022821488      0.00000      0.00000
      -2.1221514      0.99192937    0.0022495349      0.00000      0.00000
      -2.1049994      0.99850637    0.0022243996      0.00000      0.00000
      -2.0878427       1.0046754    0.0022776433      0.00000      0.00000
      -2.0706809      0.99544237    0.0022484198      0.00000      0.00000
      -2.0535003      0.99825873    0.0022451360      0.00000      0.00000
      -2.0363209      0.99620187    0.0022245047      0.00000      0.00000
      -2.0191896      0.98945372    0.0022267679      0.00000      0.00000
      -2.0020402      0.99974453    0.0022915693      0.00000      0.00000
      -1.9848875      0.99965941    0.0022562618      0.00000      0.00000
      -1.9677348      0.99931075    0.0022441884      0.00000      0.00000
      -1.9505772      0.99922206    0.0022495858      0.00000      0.00000
      -1.9334253      0.99622785    0.0022353444      0.00000      0.00000
      -1.9162731      0.99675437    0.0022934204      0.00000      0.00000
      -1.8991183       1.0008074    0.0022902510      0.00000      0.00000
      -1.8819675       1.0031177    0.0023081409      0.00000      0.00000
      -1.8648166      0.99880546    0.0023008362      0.00000      0.00000
      -1.8476630       1.0050496    0.0022962180      0.00000      0.00000
      -1.8305127      0.99802449    0.0022917482      0.00000      0.00000
      -1.8133558      0.99977269    0.0024990227      0.00000      0.00000
      -1.7961718      0.99773635    0.0022817716      0.00000      0.00000
      -1.7789818      0.99219263    0.0022581566      0.00000      0.00000
      -1.7618224      0.99397648    0.0022616125      0.00000      0.00000
      -1.7446703      0.99341285    0.0022413438      0.00000      0.00000
      -1.7275163       1.0003217    0.0022527617      0.00000      0.00000
      -1.7103350      0.99718158    0.0022195828      0.00000      0.00000
      -1.6931812      0.99710569    0.0022562804      0.00000      0.00000
      -1.6760198      0.99564505    0.0022363186      0.00000      0.00000
      -1.6588624      0.99107672    0.0022502086      0.00000      0.00000
      -1.6417030      0.99771419    0.0022658767      0.00000      0.00000
      -1.6245494       1.0021435    0.0022014744      0.00000      0.00000
      -1.6073352       1.0018520    0.0022313135      0.00000      0.00000
      -1.5901794       1.0021591    0.0021913410      0.00000      0.00000
      -1.5730222      0.99825324    0.0021907302      0.00000      0.00000
      -1.5558700      0.99234673    0.0022084656      0.00000      0.00000
      -1.5387079       1.0014359    0.0021861766      0.00000      0.00000
      -1.5215525      0.99776881    0.0021908536      0.00000      0.00000
      -1.5043944      0.99336915    0.0021973457      0.00000      0.00000
      -1.4872407      0.99890306    0.0021973013      0.00000      0.00000
      -1.4700676      0.99937030    0.0022237115      0.00000      0.00000
      -1.4528847      0.99545912    0.0021703346      0.00000      0.00000
      -1.4357223      0.99773885    0.0022055363      0.00000      0.00000
