Wavelength(um) Binsize(um)  Amp   	 Amp_Err
     0.900200    0.0604000    0.0125773   0.00170993
     0.960600    0.0604000    0.0100788   0.00104909
      1.02100    0.0604000    0.0106981  0.000884696
      1.08140    0.0604000   0.00921651  0.000783855
      1.14180    0.0604000   0.00807298  0.000673850
      1.20220    0.0604000   0.00710068  0.000580826
      1.50420    0.0604000   0.00377668  0.000631557
      1.56460    0.0604000   0.00443795  0.000441420
      1.62500    0.0604000   0.00355889  0.000397854
      1.68540    0.0604000   0.00329988  0.000349736
      1.74580    0.0604000   0.00327446  0.000379144
      1.98740    0.0604000   0.00148515  0.000488965
      2.04780    0.0604000  0.000676480  0.000561823
      2.10820    0.0604000   0.00132603  0.000382324
      2.16860    0.0604000   0.00148056  0.000345193
      2.22900    0.0604000   0.00111028  0.000320942
      2.34980    0.0604000  0.000439693  0.000421830
